Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1984","1984","t","8441800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1985","1985","ha","5797200","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1985","1985","t","6643700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1986","1986","ha","5923100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1986","1986","t","7592800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1987","1987","ha","5560900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1987","1987","t","5721300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1988","1988","ha","5896700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1988","1988","t","8228700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1989","1989","ha","5915100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1989","1989","t","9651300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1990","1990","ha","5904300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1990","1990","t","8961700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1991","1991","ha","5859400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1991","1991","t","8064400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1992","1992","ha","5511000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1992","1992","t","8942900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1993","1993","ha","6037800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1993","1993","t","9579500","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1994","1994","ha","5922800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1994","1994","t","8716100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1995","1995","ha","6141300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1995","1995","t","9521100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1996","1996","ha","6172700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1996","1996","t","10358020","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1997","1997","ha","6308500","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1997","1997","t","11025180","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1998","1998","ha","6150700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1998","1998","t","10928100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","1999","1999","ha","6339600","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","1999","1999","t","11315200","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2000","2000","ha","6682300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2000","2000","t","12023000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2001","2001","ha","6558000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2001","2001","t","13071900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2002","2002","ha","6623800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2002","2002","t","11184300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2003","2003","ha","7249200","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2003","2003","t","14613700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2004","2004","ha","7347500","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2004","2004","t","13726300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2005","2005","ha","7594100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2005","2005","t","14851500","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2006","2006","ha","7790800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2006","2006","t","14110300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2007","2007","ha","8052300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2007","2007","t","18647400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2008","2008","ha","7893300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2008","2008","t","17969200","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2009","2009","ha","8342492","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2009","2009","t","17904191","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2010","2010","ha","8480267","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2010","2010","t","21063550.6","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2011","2011","ha","8652320","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2011","2011","t","21574657.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2012","2012","ha","8615188","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2012","2012","t","21477569","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2013","2013","ha","8767898","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2013","2013","t","23198940.44","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2014","2014","ha","9319980","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2014","2014","t","24127852.08","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2015","2015","ha","8801813","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2015","2015","t","23212166.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2016","2016","ha","9467938","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2016","2016","t","25433487.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2017","2017","ha","9225196","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2017","2017","t","27099085.11","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2018","2018","ha","9276951","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2018","2018","t","28048097.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2019","2019","ha","9249478","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2019","2019","t","27730830.78","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","9771598","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2020","2020","t","30891725.28","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2021","2021","ha","9921097","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2021","2021","t","32772407.24","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2022","2022","ha","10226318","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2022","2022","t","34722657.26","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2023","2023","ha","11019656","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2023","2023","t","36656692.78","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0112","Maize (corn)","2024","2024","ha","11349065","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0112","Maize (corn)","2024","2024","t","40230572.74","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1961","1961","ha","34694000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1961","1961","t","53494496","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1962","1962","ha","35695008","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1962","1962","t","49825552","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1963","1963","ha","35809008","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1963","1963","t","55497008","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1964","1964","ha","36462000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1964","1964","t","58962000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1965","1965","ha","35470000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1965","1965","t","45883504","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1966","1966","ha","35251008","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1966","1966","t","45657008","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1967","1967","ha","36437408","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1967","1967","t","56418304","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1968","1968","ha","36966304","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1968","1968","t","59641808","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1969","1969","ha","37680304","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1969","1969","t","60644544","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1970","1970","ha","37591696","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1970","1970","t","63337808","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1971","1971","ha","37757808","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1971","1971","t","64602000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1972","1972","ha","36687808","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1972","1972","t","58867952","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1973","1973","ha","38285008","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1973","1973","t","66077008","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1974","1974","ha","37888400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1974","1974","t","59650000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1975","1975","ha","39475408","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1975","1975","t","73352000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1976","1976","ha","38511104","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1976","1976","t","63051904","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1977","1977","ha","40282608","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1977","1977","t","79005600","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1978","1978","ha","40482208","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1978","1978","t","80608496","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1979","1979","ha","39414304","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1979","1979","t","63475696","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1980","1980","ha","40151504","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1980","1980","t","80312000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1981","1981","ha","40708400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1981","1981","t","79883008","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1982","1982","ha","38262000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1982","1982","t","70771696","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1983","1983","ha","41244000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1983","1983","t","90048000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1984","1984","ha","41158800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1984","1984","t","87552800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1985","1985","ha","41137200","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1985","1985","t","95817696","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1986","1986","ha","41166704","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1986","1986","t","90779408","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1987","1987","ha","38806304","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1987","1987","t","85338704","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1988","1988","ha","41735808","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1988","1988","t","106368800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1989","1989","ha","42166896","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1989","1989","t","110310608","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1990","1990","ha","42686608","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1990","1990","t","111517408","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1991","1991","ha","42579100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1991","1991","t","111513150","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1992","1992","ha","41955100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1992","1992","t","110328900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1993","1993","ha","42014300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1993","1993","t","117522900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1994","1994","ha","42841500","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1994","1994","t","123265800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1995","1995","ha","42813300","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1995","1995","t","115635150","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1996","1996","ha","43184000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1996","1996","t","108979377.94","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1997","1997","ha","43470800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1997","1997","t","122920037.06","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1998","1998","ha","44077700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1998","1998","t","124102050","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","1999","1999","ha","45295600","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","1999","1999","t","136255650","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2000","2000","ha","44915400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2000","2000","t","127471150","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2001","2001","ha","44628800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2001","2001","t","139080000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2002","2002","ha","42321800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2002","2002","t","113851950","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2003","2003","ha","42369400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2003","2003","t","131033400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2004","2004","ha","41726000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2004","2004","t","123206250","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2005","2005","ha","42877900","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2005","2005","t","133760400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2006","2006","ha","43925800","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2006","2006","t","140538450","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2007","2007","ha","43684700","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2007","2007","t","143831100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2008","2008","ha","45252100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2008","2008","t","148412100","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2009","2009","ha","42329720","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2009","2009","t","135206915","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2010","2010","ha","42333987","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2010","2010","t","140674810.06","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2011","2011","ha","44967537","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2011","2011","t","162151286.59","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2012","2012","ha","42797306","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2012","2012","t","157382919.56","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2013","2013","ha","43288849","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2013","2013","t","156554654.9","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2014","2014","ha","44515890","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2014","2014","t","159810501.3","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2015","2015","ha","43938012","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2015","2015","t","158254967.78","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2016","2016","ha","43688499","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2016","2016","t","163947351.09","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2017","2017","ha","43496848","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2017","2017","t","165796205.79","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2018","2018","ha","44389153","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2018","2018","t","176493653.91","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0113","Rice","2019","2019","ha","43205052","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0113","Rice","2019","2019","t","175071504.27","A","Official figure",""
